uic_code,année,fréquentation
87474189,2021,29217
87474189,2020,25645
87474189,2019,28103
87474189,2018,22562
87474189,2017,22688
87474189,2016,23072
87474189,2015,23529
87182840,2022,6457
87182840,2021,5363
87182840,2020,4662
87182840,2019,7285
87182840,2018,8034
87182840,2017,9423
87182840,2016,10091
87182840,2015,10914
87297291,2022,11089
87297291,2021,9498
87297291,2020,6211
87297291,2019,6141
87297291,2018,8608
87297291,2017,11174
87297291,2016,10665
87297291,2015,9537
87184200,2022,11503
87184200,2021,6392
87184200,2020,3614
87184200,2019,6821
87184200,2018,5387
87184200,2017,6267
87184200,2016,5992
87184200,2015,6166
87581850,2022,60486
87581850,2021,38136
87581850,2020,23363
87581850,2019,39149
87581850,2018,24017
87581850,2017,18450
87581850,2016,13262
87581850,2015,16097
87175133,2022,119
87175133,2021,145
87175133,2020,193
87175133,2019,981
87175133,2018,2074
87175133,2017,1296
87175133,2016,1730
87175133,2015,2037
87141218,2022,163022
87141218,2021,127453
87141218,2020,106890
87141218,2019,139986
87141218,2018,131165
87141218,2017,140910
87141218,2016,140514
87141218,2015,146075
87673004,2022,1322129
87673004,2021,1000265
87673004,2020,660529
87673004,2019,948134
87673004,2018,829006
87673004,2017,901165
87673004,2016,800871
87673004,2015,839085
87611723,2022,94556
87611723,2021,72192
87611723,2020,52111
87611723,2019,55961
87611723,2018,50573
87611723,2017,68316
87611723,2016,67474
87611723,2015,74680
87582700,2022,345518
87582700,2021,252152
87582700,2020,189370
87582700,2019,275136
87582700,2018,235945
87582700,2017,220784
87582700,2016,202064
87582700,2015,178820
87485342,2022,38082
87485342,2021,29514
87485342,2020,25176
87485342,2019,26170
87485342,2018,24235
87485342,2017,24545
87485342,2016,24094
87485342,2015,22629
87781609,2022,35301
87781609,2021,23592
87781609,2020,16035
87781609,2019,13726
87781609,2018,15337
87781609,2017,17095
87781609,2016,16859
87781609,2015,17230
87184002,2022,1245496
87184002,2021,908286
87184002,2020,775926
87184002,2019,1124537
87184002,2018,1006802
87184002,2017,1146193
87184002,2016,1059616
87184002,2015,1159439
87784892,2022,86
87784892,2021,46
87784892,2020,23
87784892,2019,78
87784892,2018,33
87784892,2017,4
87784892,2016,10
87784892,2015,2
87192302,2022,10350
87192302,2021,8422
87192302,2020,7919
87192302,2019,11223
87192302,2018,9158
87192302,2017,8829
87192302,2016,7830
87192302,2015,7232
87444299,2022,544544
87444299,2021,401880
87444299,2020,336799
87444299,2019,477308
87444299,2018,447200
87444299,2017,484156
87444299,2016,465550
87444299,2015,484258
87781005,2022,1490704
87781005,2021,1192730
87781005,2020,831286
87781005,2019,1129019
87781005,2018,1214111
87781005,2017,1441893
87781005,2016,1374338
87781005,2015,1257794
87342097,2022,63288
87342097,2021,47484
87342097,2020,37582
87342097,2019,61097
87342097,2018,57790
87342097,2017,64218
87342097,2016,59082
87342097,2015,60233
87673400,2022,731466
87673400,2021,630302
87673400,2020,431935
87673400,2019,571419
87673400,2018,496224
87673400,2017,501005
87673400,2016,419448
87673400,2015,422384
87393546,2022,352463
87393546,2021,280066
87393546,2020,172854
87393546,2019,426162
87393546,2018,444063
87393546,2017,467275
87393546,2016,481167
87393546,2015,493181
87214296,2022,118917
87214296,2021,102113
87214296,2020,92984
87214296,2019,133047
87214296,2018,122565
87214296,2017,122728
87214296,2016,122510
87214296,2015,127673
87645184,2022,368
87645184,2021,78
87645184,2020,13
87645184,2019,61
87645184,2018,58
87645184,2017,82
87645184,2016,120
87645184,2015,174
87381152,2022,255631
87381152,2021,237004
87381152,2020,88484
87381152,2019,207727
87381152,2018,221223
87381152,2017,239132
87381152,2016,251490
87381152,2015,233191
87784801,2022,4537
87784801,2021,3333
87784801,2020,2147
87784801,2019,1965
87784801,2018,1188
87784801,2017,1378
87784801,2016,1473
87784801,2015,1720
87113407,2022,14605023
87113407,2021,11082849
87113407,2020,7412905
87113407,2019,12574385
87113407,2018,12799616
87113407,2017,13024968
87113407,2016,13017323
87113407,2015,12955985
87478065,2022,5434
87478065,2021,3107
87478065,2020,3261
87478065,2019,4671
87478065,2018,4713
87478065,2017,7397
87478065,2016,8156
87478065,2015,6891
87276444,2022,41848
87276444,2021,34587
87276444,2020,24170
87276444,2019,41161
87276444,2018,44209
87276444,2017,46272
87276444,2016,43084
